"","date","series_id","value","realtime_start","realtime_end"
"92",2012-10-01,"UNRATE",7.8,2022-12-06,2022-12-06
"93",2013-01-01,"UNRATE",7.7,2022-12-06,2022-12-06
"94",2013-04-01,"UNRATE",7.5,2022-12-06,2022-12-06
"95",2013-07-01,"UNRATE",7.2,2022-12-06,2022-12-06
"96",2013-10-01,"UNRATE",6.9,2022-12-06,2022-12-06
"97",2014-01-01,"UNRATE",6.7,2022-12-06,2022-12-06
"98",2014-04-01,"UNRATE",6.2,2022-12-06,2022-12-06
"99",2014-07-01,"UNRATE",6.1,2022-12-06,2022-12-06
"100",2014-10-01,"UNRATE",5.7,2022-12-06,2022-12-06
"101",2015-01-01,"UNRATE",5.5,2022-12-06,2022-12-06
"102",2015-04-01,"UNRATE",5.4,2022-12-06,2022-12-06
"103",2015-07-01,"UNRATE",5.1,2022-12-06,2022-12-06
"104",2015-10-01,"UNRATE",5,2022-12-06,2022-12-06
"105",2016-01-01,"UNRATE",4.9,2022-12-06,2022-12-06
"106",2016-04-01,"UNRATE",4.9,2022-12-06,2022-12-06
"107",2016-07-01,"UNRATE",4.9,2022-12-06,2022-12-06
"108",2016-10-01,"UNRATE",4.8,2022-12-06,2022-12-06
"109",2017-01-01,"UNRATE",4.6,2022-12-06,2022-12-06
"110",2017-04-01,"UNRATE",4.4,2022-12-06,2022-12-06
"111",2017-07-01,"UNRATE",4.3,2022-12-06,2022-12-06
"112",2017-10-01,"UNRATE",4.2,2022-12-06,2022-12-06
"113",2018-01-01,"UNRATE",4,2022-12-06,2022-12-06
"114",2018-04-01,"UNRATE",3.9,2022-12-06,2022-12-06
"115",2018-07-01,"UNRATE",3.8,2022-12-06,2022-12-06
"116",2018-10-01,"UNRATE",3.8,2022-12-06,2022-12-06
"117",2019-01-01,"UNRATE",3.9,2022-12-06,2022-12-06
"118",2019-04-01,"UNRATE",3.6,2022-12-06,2022-12-06
"119",2019-07-01,"UNRATE",3.6,2022-12-06,2022-12-06
"120",2019-10-01,"UNRATE",3.6,2022-12-06,2022-12-06
"121",2020-01-01,"UNRATE",3.8,2022-12-06,2022-12-06
"122",2020-04-01,"UNRATE",13,2022-12-06,2022-12-06
"123",2020-07-01,"UNRATE",8.8,2022-12-06,2022-12-06
"124",2020-10-01,"UNRATE",6.8,2022-12-06,2022-12-06
"125",2021-01-01,"UNRATE",6.2,2022-12-06,2022-12-06
"126",2021-04-01,"UNRATE",5.9,2022-12-06,2022-12-06
"127",2021-07-01,"UNRATE",5.1,2022-12-06,2022-12-06
"128",2021-10-01,"UNRATE",4.2,2022-12-06,2022-12-06
"129",2022-01-01,"UNRATE",3.8,2022-12-06,2022-12-06
"130",2022-04-01,"UNRATE",3.6,2022-12-06,2022-12-06
"131",2022-07-01,"UNRATE",3.6,2022-12-06,2022-12-06
"132",2022-10-01,"UNRATE",NA,2022-12-06,2022-12-06
