"","date","series_id","value","realtime_start","realtime_end"
"84",2010-10-01,"FEDFUNDS",0.19,2022-10-28,2022-10-28
"85",2011-01-01,"FEDFUNDS",0.16,2022-10-28,2022-10-28
"86",2011-04-01,"FEDFUNDS",0.09,2022-10-28,2022-10-28
"87",2011-07-01,"FEDFUNDS",0.08,2022-10-28,2022-10-28
"88",2011-10-01,"FEDFUNDS",0.07,2022-10-28,2022-10-28
"89",2012-01-01,"FEDFUNDS",0.1,2022-10-28,2022-10-28
"90",2012-04-01,"FEDFUNDS",0.15,2022-10-28,2022-10-28
"91",2012-07-01,"FEDFUNDS",0.14,2022-10-28,2022-10-28
"92",2012-10-01,"FEDFUNDS",0.16,2022-10-28,2022-10-28
"93",2013-01-01,"FEDFUNDS",0.14,2022-10-28,2022-10-28
"94",2013-04-01,"FEDFUNDS",0.12,2022-10-28,2022-10-28
"95",2013-07-01,"FEDFUNDS",0.08,2022-10-28,2022-10-28
"96",2013-10-01,"FEDFUNDS",0.09,2022-10-28,2022-10-28
"97",2014-01-01,"FEDFUNDS",0.07,2022-10-28,2022-10-28
"98",2014-04-01,"FEDFUNDS",0.09,2022-10-28,2022-10-28
"99",2014-07-01,"FEDFUNDS",0.09,2022-10-28,2022-10-28
"100",2014-10-01,"FEDFUNDS",0.1,2022-10-28,2022-10-28
"101",2015-01-01,"FEDFUNDS",0.11,2022-10-28,2022-10-28
"102",2015-04-01,"FEDFUNDS",0.12,2022-10-28,2022-10-28
"103",2015-07-01,"FEDFUNDS",0.14,2022-10-28,2022-10-28
"104",2015-10-01,"FEDFUNDS",0.16,2022-10-28,2022-10-28
"105",2016-01-01,"FEDFUNDS",0.36,2022-10-28,2022-10-28
"106",2016-04-01,"FEDFUNDS",0.37,2022-10-28,2022-10-28
"107",2016-07-01,"FEDFUNDS",0.4,2022-10-28,2022-10-28
"108",2016-10-01,"FEDFUNDS",0.45,2022-10-28,2022-10-28
"109",2017-01-01,"FEDFUNDS",0.7,2022-10-28,2022-10-28
"110",2017-04-01,"FEDFUNDS",0.95,2022-10-28,2022-10-28
"111",2017-07-01,"FEDFUNDS",1.15,2022-10-28,2022-10-28
"112",2017-10-01,"FEDFUNDS",1.2,2022-10-28,2022-10-28
"113",2018-01-01,"FEDFUNDS",1.45,2022-10-28,2022-10-28
"114",2018-04-01,"FEDFUNDS",1.74,2022-10-28,2022-10-28
"115",2018-07-01,"FEDFUNDS",1.92,2022-10-28,2022-10-28
"116",2018-10-01,"FEDFUNDS",2.22,2022-10-28,2022-10-28
